year,round,pick_in_round,ov_pick,pos,player,mlb_team,canonical_team
2025,11,4,124,SP,Tyler Glasnow,LAD,X BLADZ
2025,11,5,125,1B,Paul Goldschmidt,NYY,jd
2025,11,6,126,RP,Ryan Walker,SF,Moonlight Graham
2025,11,8,128,RP,David Bednar,PIT,The Boss Hogg Brigade
2025,11,9,129,SS,Dansby Swanson,CHC,X BLADZ
2025,11,10,130,SP,Bryce Miller,SEA,Lightning McLean
2025,11,11,131,RP,Justin Martinez,ARI,For Whom Skubal Tolls
2025,11,12,132,SP,Spencer Schwellenbach,ATL,Acuna & Friends
2025,12,1,133,RP,Clay Holmes,NYM,New York No Sox
2025,12,2,134,OF,Nick Castellanos,PHI,For Whom Skubal Tolls
2025,12,3,135,SP,Bryan Woo,SEA,New York No Sox
2025,12,4,136,OF,Pete Crow-Armstrong,CHC,My Filipina ❤️'s Dried Fish
2025,12,5,137,2B,Jordan Westburg,BAL,The Boss Hogg Brigade
2025,12,6,138,SS,Xavier Edwards,MIA,My Filipina ❤️'s Dried Fish
2025,12,7,139,RP,Nick Martinez,CIN,Moonlight Graham
2025,12,8,140,SP,Garrett Crochet,BOS,jd
2025,12,9,141,SP,Michael King,SD,X BLADZ
2025,12,10,142,C,Logan O'Hoppe,LAA,Cruz Control
2025,12,11,143,OF,Lawrence Butler,ATH,Lightning McLean
2025,12,12,144,SP,Seth Lugo,KC,Ball Knower
2025,13,1,145,SS,Xander Bogaerts,SD,Ball Knower
2025,13,2,146,2B,Bryson Stott,PHI,Lightning McLean
2025,13,3,147,1B,Cody Bellinger,NYY,Cruz Control
2025,13,4,148,SP,Grayson Rodriguez,BAL,X BLADZ
2025,13,5,149,OF,Jurickson Profar,ATL,jd
2025,13,6,150,SP,Tanner Houck,BOS,Moonlight Graham
2025,13,8,152,OF,Lourdes Gurriel Jr.,ARI,The Boss Hogg Brigade
2025,13,9,153,SP,Kodai Senga,NYM,My Filipina ❤️'s Dried Fish
2025,13,10,154,2B,Colt Keith,DET,New York No Sox
2025,13,11,155,RP,Trevor Megill,MIL,For Whom Skubal Tolls
2025,13,12,156,SS,Jeremy Pena,HOU,Acuna & Friends
2025,14,1,157,SP,Reynaldo Lopez,ATL,Acuna & Friends
2025,14,2,158,RP,A.J. Puk,ARI,For Whom Skubal Tolls
2025,14,3,159,SS,Carlos Correa,MIN,New York No Sox
2025,14,4,160,3B,Christopher Morel,TB,X BLADZ
2025,14,5,161,RP,Kenley Jansen,LAA,The Boss Hogg Brigade
2025,14,7,163,OF,Ceddanne Rafaela,BOS,Moonlight Graham
2025,14,8,164,SP,Yusei Kikuchi,LAA,jd
2025,14,9,165,SP,Chris Bassitt,TOR,X BLADZ
2025,14,10,166,OF,Brent Rooker,ATH,Cruz Control
2025,14,11,167,OF,Brandon Nimmo,NYM,Lightning McLean
2025,14,12,168,SP,Sonny Gray,STL,Ball Knower
2025,15,1,169,OF,Tyler O'Neill,BAL,Ball Knower
2025,15,2,170,2B,Andres Gimenez,TOR,For Whom Skubal Tolls
2025,15,3,171,2B,Jonathan India,KC,My Filipina ❤️'s Dried Fish
2025,15,4,172,OF,Josh Lowe,TB,X BLADZ
2025,15,5,173,1B,Spencer Steer,CIN,jd
2025,15,6,174,3B,Maikel Garcia,KC,Moonlight Graham
2025,15,8,176,C,Shea Langeliers,ATH,The Boss Hogg Brigade
2025,15,9,177,SP,Sean Manaea,NYM,My Filipina ❤️'s Dried Fish
2025,15,10,178,SP,Gavin Williams,CLE,New York No Sox
2025,15,11,179,RP,Jason Foley,DET,For Whom Skubal Tolls
2025,15,12,180,OF,Michael Toglia,COL,Acuna & Friends
2025,16,1,181,RP,Kirby Yates,LAD,Acuna & Friends
2025,16,2,182,RP,Mason Miller,ATH,For Whom Skubal Tolls
2025,16,3,183,RP,Ryan Pressly,CHC,New York No Sox
2025,16,4,184,SP,Walker Buehler,BOS,My Filipina ❤️'s Dried Fish
2025,16,5,185,UT,Jorge Soler,LAA,The Boss Hogg Brigade
2025,16,7,187,SP,Bowden Francis,TOR,Moonlight Graham
2025,16,8,188,SP,Ryan Pepiot,TB,jd
2025,16,9,189,RP,A.J. Minter,NYM,X BLADZ
2025,16,10,190,SP,Zach Eflin,BAL,Cruz Control
2025,16,11,191,OF,Kerry Carpenter,DET,Lightning McLean
2025,16,12,192,SP,Spencer Arrighetti,HOU,Ball Knower
2025,17,1,193,1B,Yandy Diaz,TB,Ball Knower
2025,17,2,194,RP,Bryan Abreu,HOU,Lightning McLean
2025,17,3,195,RP,Jason Adam,SD,Cruz Control
2025,17,4,196,1B,Nathaniel Lowe,WSH,X BLADZ
2025,17,5,197,RP,Carlos Estevez,KC,New York No Sox
2025,17,6,198,1B,Triston Casas,BOS,Moonlight Graham
2025,17,8,200,OF,Alec Burleson,STL,Moonlight Graham
2025,17,9,201,RP,Devin Williams,NYY,My Filipina ❤️'s Dried Fish
2025,17,10,202,RP,Alexis Diaz,CIN,jd
2025,17,11,203,C,Tyler Stephenson,CIN,For Whom Skubal Tolls
2025,17,12,204,RP,Lucas Erceg,KC,Acuna & Friends
2025,18,1,205,2B,Brandon Lowe,TB,Acuna & Friends
2025,18,2,206,C,Austin Wells,NYY,For Whom Skubal Tolls
2025,18,3,207,3B,Matt Shaw,CHC,New York No Sox
2025,18,4,208,3B,Josh Jung,TEX,jd
2025,18,5,209,1B,Rhys Hoskins,MIL,Lightning McLean
2025,18,6,210,3B,Eugenio Suarez,ARI,The Boss Hogg Brigade
2025,18,7,211,SP,Jared Jones,PIT,Moonlight Graham
2025,18,8,212,SS,Tommy Edman,LAD,jd
2025,18,9,213,SP,Paul Skenes,PIT,X BLADZ
2025,18,10,214,OF,George Springer,TOR,My Filipina ❤️'s Dried Fish
2025,18,11,215,SP,Jacob deGrom,TEX,New York No Sox
2025,18,12,216,RP,Jordan Romano,PHI,Ball Knower
2025,19,1,217,SP,MacKenzie Gore,WSH,Ball Knower
2025,19,2,218,RP,Edwin Diaz,NYM,Lightning McLean
2025,19,3,219,SP,Cristopher Sanchez,PHI,Cruz Control
2025,19,4,220,RP,Erik Swanson,TOR,X BLADZ
2025,19,5,221,1B,Christian Encarnacion-Strand,CIN,New York No Sox
2025,19,6,222,SP,Brady Singer,CIN,Moonlight Graham
2025,19,8,224,SP,Nick Pivetta,SD,The Boss Hogg Brigade
2025,19,9,225,SP,Brandon Woodruff,MIL,My Filipina ❤️'s Dried Fish
2025,19,10,226,OF,Matt Wallner,MIN,New York No Sox
2025,19,11,227,SS,Masyn Winn,STL,For Whom Skubal Tolls
2025,19,12,228,SP,Jose Berrios,TOR,Acuna & Friends
2025,20,1,229,2B,Willi Castro,MIN,Acuna & Friends
2025,20,2,230,OF,James Wood,WSH,For Whom Skubal Tolls
2025,20,3,231,OF,Jackson Merrill,SD,New York No Sox
2025,20,4,232,RP,Tyler Holton,DET,The Boss Hogg Brigade
2025,20,5,233,RP,Yennier Cano,BAL,Lightning McLean
2025,20,8,236,SP,Reese Olson,DET,X BLADZ
2025,20,9,237,2B,Jake Cronenworth,SD,X BLADZ
2025,20,10,238,SP,Andrew Painter,PHI,Cruz Control
2025,20,12,240,3B,Cam Smith,HOU,The Boss Hogg Brigade
2025,21,1,241,OF,Dylan Crews,WSH,Ball Knower
2025,21,2,242,3B,Coby Mayo,BAL,Lightning McLean
2025,21,3,243,OF,Andy Pages,LAD,Cruz Control
2025,21,4,244,SP,Nestor Cortes Jr.,MIL,X BLADZ
2025,21,5,245,3B,Matt Chapman,SF,jd
2025,21,6,246,SP,Taj Bradley,TB,Moonlight Graham
2025,21,8,248,OF,Jackson Chourio,MIL,The Boss Hogg Brigade
2025,21,9,249,SP,Shohei Ohtani-P,LAD,My Filipina ❤️'s Dried Fish
2025,21,10,250,SP,Bubba Chandler,PIT,New York No Sox
2025,21,11,251,SP,Nick Lodolo,CIN,For Whom Skubal Tolls
2025,21,12,252,SS,Kristian Campbell,BOS,Acuna & Friends
2025,22,1,253,C,Gabriel Moreno,ARI,Acuna & Friends
2025,22,2,254,RP,Griffin Jax,MIN,For Whom Skubal Tolls
2025,22,3,255,3B,Brett Baty,NYM,New York No Sox
2025,22,4,256,INF,Royce Lewis,MIN,My Filipina ❤️'s Dried Fish
2025,22,5,257,RP,Jose Alvarado,PHI,The Boss Hogg Brigade
2025,22,7,259,SP,Erick Fedde,STL,Moonlight Graham
2025,22,8,260,OF,Jasson Dominguez,NYY,jd
2025,22,9,261,OF,Evan Carter,TEX,X BLADZ
2025,22,10,262,RP,Aroldis Chapman,BOS,Cruz Control
2025,22,11,263,2B,Gleyber Torres,DET,Lightning McLean
2025,22,12,264,OF,Cedric Mullins,BAL,Ball Knower
2025,23,1,265,C,Dalton Rushing,LAD,Ball Knower
2025,23,2,266,SS,Trevor Story,BOS,Lightning McLean
2025,23,3,267,SP,Jackson Jobe,DET,Cruz Control
2025,23,4,268,SP,Ricky Tiedemann,TOR,X BLADZ
2025,23,5,269,RP,Liam Hendriks,BOS,jd
2025,23,6,270,SP,Ranger Suarez,PHI,Moonlight Graham
2025,23,8,272,2B,Luis Rengifo,LAA,My Filipina ❤️'s Dried Fish
2025,23,9,273,SP,Matthew Boyd,CHC,The Boss Hogg Brigade
2025,23,10,274,SP,Jack Leiter,TEX,New York No Sox
2025,23,11,275,1B,Ryan Mountcastle,BAL,For Whom Skubal Tolls
2025,23,12,276,OF,Garrett Mitchell,MIL,Acuna & Friends
2025,24,1,277,RP,Kris Bubic,KC,Acuna & Friends
2025,24,2,278,SP,Kumar Rocker,TEX,For Whom Skubal Tolls
2025,24,3,279,1B,Ben Rice,NYY,New York No Sox
2025,24,4,280,C,Francisco Alvarez,NYM,My Filipina ❤️'s Dried Fish
2025,24,5,281,OF,Chandler Simpson,TB,The Boss Hogg Brigade
2025,24,7,283,SP,Miles Mikolas,STL,Moonlight Graham
2025,24,8,284,2B,Travis Bazzana,CLE,jd
2025,24,9,285,,,,X BLADZ
2025,24,10,286,OF,Byron Buxton,MIN,For Whom Skubal Tolls
2025,24,11,287,SP,Shane McClanahan,TB,Lightning McLean
2025,24,12,288,RP,Luke Weaver,NYY,My Filipina ❤️'s Dried Fish
2025,25,1,289,OF,Roman Anthony,BOS,Ball Knower
2025,25,2,290,OF,Walker Jenkins,MIN,The Boss Hogg Brigade
2025,25,3,291,SP,Luis Gil,NYY,Cruz Control
2025,25,4,292,,,,X BLADZ
2025,25,5,293,SP,Chase Burns,CIN,New York No Sox
2025,25,6,294,SP,Aaron Civale,MIL,Moonlight Graham
2025,25,8,296,RP,Fernando Cruz,NYY,The Boss Hogg Brigade
2025,25,9,297,SP,Brandon Sproat,NYM,My Filipina ❤️'s Dried Fish
2025,25,10,298,1B,Jac Caglianone,KC,New York No Sox
2025,25,11,299,SP,Jesus Luzardo,PHI,For Whom Skubal Tolls
2025,25,12,300,SP,Noah Schultz,CHW,Acuna & Friends
2024,1,1,1,OF,Julio Rodriguez,SEA,X BLADZ
2024,1,3,3,OF,Fernando Tatis Jr.,SD,Moonlight Graham
2024,1,4,4,OF,Aaron Judge,NYY,My Filipina ❤️'s Dried Fish
2024,1,6,6,INF,Bobby Witt Jr.,KC,For Whom Skubal Tolls
2024,1,7,7,OF,Ronald Acuna Jr.,ATL,Acuna & Friends
2024,1,8,8,OF,Kyle Tucker,HOU,Lightning McLean
2024,1,9,9,SS,Trea Turner,PHI,jd
2024,1,10,10,OF,Juan Soto,NYY,The Boss Hogg Brigade
2024,1,11,11,3B,Jose Ramirez,CLE,Cruz Control
2024,1,12,12,OF,Mookie Betts,LAD,New York No Sox
2024,2,1,13,3B,Austin Riley,ATL,New York No Sox
2024,2,2,14,1B,Matt Olson,ATL,Cruz Control
2024,2,3,15,SP,Spencer Strider,ATL,The Boss Hogg Brigade
2024,2,4,16,OF,Yordan Alvarez,HOU,jd
2024,2,5,17,1B,Pete Alonso,NYM,Lightning McLean
2024,2,6,18,SS,Corey Seager,TEX,Acuna & Friends
2024,2,7,19,SP,Corbin Burnes,BAL,For Whom Skubal Tolls
2024,2,9,21,3B,Rafael Devers,BOS,My Filipina ❤️'s Dried Fish
2024,2,10,22,2B,Marcus Semien,TEX,Moonlight Graham
2024,2,12,24,1B,Vladimir Guerrero Jr.,TOR,X BLADZ
2024,3,1,25,SS,Bo Bichette,TOR,X BLADZ
2024,3,3,27,2B,Ozzie Albies,ATL,Moonlight Graham
2024,3,4,28,SP,Kevin Gausman,TOR,My Filipina ❤️'s Dried Fish
2024,3,6,30,SS,Elly De La Cruz,CIN,For Whom Skubal Tolls
2024,3,7,31,SP,George Kirby,SEA,Acuna & Friends
2024,3,8,32,OF,Kyle Schwarber,PHI,Lightning McLean
2024,3,9,33,OF,Michael Harris II,ATL,jd
2024,3,10,34,3B,Manny Machado,SD,The Boss Hogg Brigade
2024,3,11,35,OF,Randy Arozarena,TB,Cruz Control
2024,3,12,36,SP,Aaron Nola,PHI,New York No Sox
2024,4,1,37,OF,Mike Trout,LAA,New York No Sox
2024,4,2,38,SS,Oneil Cruz,PIT,Cruz Control
2024,4,3,39,OF,Luis Robert Jr.,CHW,The Boss Hogg Brigade
2024,4,4,40,SP,Luis Castillo,SEA,jd
2024,4,5,41,SP,Max Fried,ATL,Lightning McLean
2024,4,6,42,OF,Corbin Carroll,ARI,Acuna & Friends
2024,4,7,43,OF,Adolis Garcia,TEX,For Whom Skubal Tolls
2024,4,9,45,1B,Paul Goldschmidt,STL,My Filipina ❤️'s Dried Fish
2024,4,10,46,3B,Alex Bregman,HOU,Moonlight Graham
2024,4,12,48,SP,Logan Gilbert,SEA,X BLADZ
2024,5,1,49,SP,Jesus Luzardo,MIA,X BLADZ
2024,5,3,51,SP,Framber Valdez,HOU,Moonlight Graham
2024,5,4,52,RP,Josh Hader,HOU,My Filipina ❤️'s Dried Fish
2024,5,6,54,SP,Tarik Skubal,DET,For Whom Skubal Tolls
2024,5,7,55,SP,Bobby Miller,LAD,Acuna & Friends
2024,5,8,56,SS,Xander Bogaerts,SD,Lightning McLean
2024,5,9,57,RP,Emmanuel Clase,CLE,jd
2024,5,10,58,2B,Gleyber Torres,NYY,The Boss Hogg Brigade
2024,5,11,59,C,Will Smith,LAD,Cruz Control
2024,5,12,60,C,Adley Rutschman,BAL,New York No Sox
2024,6,1,61,3B,Gunnar Henderson,BAL,New York No Sox
2024,6,2,62,SP,Dylan Cease,SD,Cruz Control
2024,6,3,63,SP,Justin Steele,CHC,The Boss Hogg Brigade
2024,6,4,64,OF,Nolan Jones,COL,jd
2024,6,5,65,INF,Royce Lewis,MIN,Lightning McLean
2024,6,6,66,SP,Cole Ragans,KC,Acuna & Friends
2024,6,7,67,1B,Christian Walker,ARI,For Whom Skubal Tolls
2024,6,9,69,SS,Dansby Swanson,CHC,My Filipina ❤️'s Dried Fish
2024,6,10,70,OF,George Springer,TOR,Moonlight Graham
2024,6,12,72,C,J.T. Realmuto,PHI,X BLADZ
2024,7,1,73,2B,Ketel Marte,ARI,X BLADZ
2024,7,3,75,SP,Zach Eflin,TB,Moonlight Graham
2024,7,4,76,OF,Cedric Mullins,BAL,My Filipina ❤️'s Dried Fish
2024,7,6,78,OF,Christian Yelich,MIL,For Whom Skubal Tolls
2024,7,7,79,1B,Spencer Torkelson,DET,Acuna & Friends
2024,7,8,80,RP,Camilo Doval,SF,Lightning McLean
2024,7,9,81,SP,Joe Musgrove,SD,jd
2024,7,10,82,RP,Raisel Iglesias,ATL,The Boss Hogg Brigade
2024,7,11,83,2B,Luis Arraez,MIA,Cruz Control
2024,7,12,84,3B,Josh Jung,TEX,New York No Sox
2024,8,1,85,SP,Logan Webb,SF,New York No Sox
2024,8,2,86,RP,Alexis Diaz,CIN,Cruz Control
2024,8,3,87,C,Yainer Diaz,HOU,The Boss Hogg Brigade
2024,8,4,88,RP,David Bednar,PIT,jd
2024,8,5,89,OF,Teoscar Hernandez,LAD,Lightning McLean
2024,8,6,90,OF,Wyatt Langford,TEX,Acuna & Friends
2024,8,7,91,RP,Paul Sewald,ARI,For Whom Skubal Tolls
2024,8,9,93,SP,Shane Bieber,CLE,My Filipina ❤️'s Dried Fish
2024,8,10,94,OF,Nick Castellanos,PHI,Moonlight Graham
2024,8,12,96,OF,Seiya Suzuki,CHC,X BLADZ
2024,9,1,97,3B,Max Muncy,LAD,X BLADZ
2024,9,3,99,1B,Spencer Steer,CIN,Moonlight Graham
2024,9,4,100,UT,Eloy Jimenez,CHW,My Filipina ❤️'s Dried Fish
2024,9,6,102,OF,Anthony Santander,BAL,For Whom Skubal Tolls
2024,9,7,103,SP,Chris Sale,ATL,Acuna & Friends
2024,9,8,104,SP,Blake Snell,SF,Lightning McLean
2024,9,9,105,2B,Andres Gimenez,CLE,jd
2024,9,10,106,1B,Bryce Harper,PHI,The Boss Hogg Brigade
2024,9,11,107,SP,Gerrit Cole,NYY,Cruz Control
2024,9,12,108,SP,Merrill Kelly,ARI,New York No Sox
2024,10,1,109,1B,Christian Encarnacion-Strand,CIN,New York No Sox
2024,10,2,110,OF,Evan Carter,TEX,Cruz Control
2024,10,3,111,3B,Isaac Paredes,TB,The Boss Hogg Brigade
2024,10,4,112,SP,Tanner Bibee,CLE,jd
2024,10,5,113,SP,Bailey Ober,MIN,Lightning McLean
2024,10,6,114,OF,Riley Greene,DET,Acuna & Friends
2024,10,7,115,OF,Ian Happ,CHC,For Whom Skubal Tolls
2024,10,9,117,2B,Thairo Estrada,SF,My Filipina ❤️'s Dried Fish
2024,10,10,118,UT,Marcell Ozuna,ATL,Moonlight Graham
2024,10,12,120,1B,Josh Naylor,CLE,X BLADZ
2024,11,1,121,SP,Yu Darvish,SD,X BLADZ
2024,11,3,123,SP,Brayan Bello,BOS,Moonlight Graham
2024,11,4,124,SP,Jose Berrios,TOR,My Filipina ❤️'s Dried Fish
2024,11,6,126,2B,Nolan Gorman,STL,For Whom Skubal Tolls
2024,11,7,127,3B,Jake Burger,MIA,Acuna & Friends
2024,11,8,128,RP,Andres Munoz,SEA,Lightning McLean
2024,11,9,129,1B,Vinnie Pasquantino,KC,jd
2024,11,10,130,3B,Junior Caminero,TB,The Boss Hogg Brigade
2024,11,11,131,SP,Joe Ryan,MIN,Cruz Control
2024,11,12,132,RP,Ryan Helsley,STL,New York No Sox
2024,12,1,133,OF,Esteury Ruiz,OAK,New York No Sox
2024,12,2,134,OF,Masataka Yoshida,BOS,Cruz Control
2024,12,3,135,RP,Evan Phillips,LAD,The Boss Hogg Brigade
2024,12,4,136,INF,Zack Gelof,OAK,jd
2024,12,5,137,2B,Edouard Julien,MIN,Lightning McLean
2024,12,6,138,OF,Jarren Duran,BOS,Acuna & Friends
2024,12,7,139,UT,Jorge Soler,SF,For Whom Skubal Tolls
2024,12,9,141,SP,Carlos Rodon,NYY,My Filipina ❤️'s Dried Fish
2024,12,10,142,SS,Willy Adames,MIL,Moonlight Graham
2024,12,12,144,OF,Josh Lowe,TB,X BLADZ
2024,13,1,145,SP,Tyler Glasnow,LAD,X BLADZ
2024,13,3,147,SS,Matt McLain,CIN,Moonlight Graham
2024,13,4,148,SS,Carlos Correa,MIN,My Filipina ❤️'s Dried Fish
2024,13,6,150,RP,Pete Fairbanks,TB,For Whom Skubal Tolls
2024,13,7,151,SP,Cristian Javier,HOU,Acuna & Friends
2024,13,8,152,C,Francisco Alvarez,NYM,Lightning McLean
2024,13,9,153,OF,Chas McCormick,HOU,jd
2024,13,10,154,INF,Trevor Story,BOS,The Boss Hogg Brigade
2024,13,11,155,RP,Jhoan Duran,MIN,Cruz Control
2024,13,12,156,SP,Bryce Miller,SEA,New York No Sox
2024,14,1,157,P,Bryan Woo,SEA,New York No Sox
2024,14,2,158,SP,Justin Verlander,HOU,Cruz Control
2024,14,3,159,SP,Nick Pivetta,BOS,The Boss Hogg Brigade
2024,14,4,160,1B,Rhys Hoskins,MIL,jd
2024,14,5,161,UT,J.D. Martinez,NYM,Lightning McLean
2024,14,6,162,2B,Nico Hoerner,CHC,Acuna & Friends
2024,14,7,163,SP,Shota Imanaga,CHC,For Whom Skubal Tolls
2024,14,9,165,SP,Pablo Lopez,MIN,My Filipina ❤️'s Dried Fish
2024,14,10,166,SP,Eury Perez,MIA,Moonlight Graham
2024,14,12,168,RP,Michael King,SD,X BLADZ
2024,15,1,169,SP,Kodai Senga,NYM,X BLADZ
2024,15,3,171,RP,Jordan Romano,TOR,Moonlight Graham
2024,15,4,172,C,Willson Contreras,STL,My Filipina ❤️'s Dried Fish
2024,15,6,174,SP,Triston McKenzie,CLE,For Whom Skubal Tolls
2024,15,7,175,1B,Jeimer Candelario,CIN,Acuna & Friends
2024,15,8,176,2B,Christopher Morel,CHC,Lightning McLean
2024,15,9,177,3B,Ke'Bryan Hayes,PIT,jd
2024,15,10,178,SP,Jordan Montgomery,(N/A),The Boss Hogg Brigade
2024,15,11,179,1B,Cody Bellinger,CHC,Cruz Control
2024,15,12,180,OF,Kerry Carpenter,DET,New York No Sox
2024,16,1,181,OF,Byron Buxton,MIN,New York No Sox
2024,16,2,182,RP,Kenley Jansen,BOS,Cruz Control
2024,16,3,183,SP,Nick Lodolo,CIN,The Boss Hogg Brigade
2024,16,4,184,C,Cal Raleigh,SEA,jd
2024,16,5,185,3B,Ryan McMahon,COL,Lightning McLean
2024,16,6,186,RP,Adbert Alzolay,CHC,Acuna & Friends
2024,16,7,187,C,Salvador Perez,KC,For Whom Skubal Tolls
2024,16,9,189,SS,Jackson Holliday,BAL,My Filipina ❤️'s Dried Fish
2024,16,10,190,SP,Sonny Gray,STL,Moonlight Graham
2024,16,12,192,RP,Matt Brash,SEA,X BLADZ
2024,17,1,193,2B,Jake Cronenworth,SD,X BLADZ
2024,17,3,195,SP,Gavin Williams,CLE,Moonlight Graham
2024,17,4,196,OF,Giancarlo Stanton,NYY,My Filipina ❤️'s Dried Fish
2024,17,6,198,RP,Tanner Scott,MIA,For Whom Skubal Tolls
2024,17,7,199,RP,Ryan Pressly,HOU,Acuna & Friends
2024,17,8,200,SP,Nestor Cortes Jr.,NYY,Lightning McLean
2024,17,9,201,RP,Jose Alvarado,PHI,jd
2024,17,10,202,UT,Justin Turner,TOR,The Boss Hogg Brigade
2024,17,11,203,OF,Brent Rooker,OAK,Cruz Control
2024,17,12,204,SS,Ezequiel Tovar,COL,New York No Sox
2024,18,1,205,SP,Kyle Bradish,BAL,New York No Sox
2024,18,2,206,SS,Tim Anderson,MIA,Cruz Control
2024,18,3,207,SS,Vaughn Grissom,BOS,The Boss Hogg Brigade
2024,18,4,208,SP,Eduardo Rodriguez,ARI,jd
2024,18,5,209,SP,Luis Severino,NYM,Lightning McLean
2024,18,6,210,RP,Yennier Cano,BAL,Acuna & Friends
2024,18,7,211,SP,Mason Miller,OAK,For Whom Skubal Tolls
2024,18,9,213,OF,Starling Marte,NYM,My Filipina ❤️'s Dried Fish
2024,18,10,214,SP,Reid Detmers,LAA,Moonlight Graham
2024,18,12,216,2B,Jorge Polanco,SEA,X BLADZ
2024,19,1,217,RP,Will Smith,KC,X BLADZ
2024,19,3,219,C,MJ Melendez,KC,Moonlight Graham
2024,19,4,220,RP,Devin Williams,MIL,My Filipina ❤️'s Dried Fish
2024,19,6,222,RP,Jose Leclerc,TEX,For Whom Skubal Tolls
2024,19,7,223,1B,Andrew Vaughn,CHW,Acuna & Friends
2024,19,8,224,OF,Alex Verdugo,NYY,Lightning McLean
2024,19,9,225,SP,Nathan Eovaldi,TEX,jd
2024,19,10,226,1B,Triston Casas,BOS,The Boss Hogg Brigade
2024,19,11,227,2B,Jeff McNeil,NYM,Cruz Control
2024,19,12,228,RP,Carlos Estevez,LAA,New York No Sox
2024,20,1,229,SP,Jacob deGrom,TEX,New York No Sox
2024,20,2,230,RP,Brooks Raley,NYM,Cruz Control
2024,20,3,231,RP,Bryan Abreu,HOU,The Boss Hogg Brigade
2024,20,4,232,3B,Colt Keith,DET,jd
2024,20,5,233,OF,Taylor Ward,LAA,Lightning McLean
2024,20,6,234,SP,Paul Skenes,PIT,Acuna & Friends
2024,20,7,235,OF,Tyler O'Neill,BOS,For Whom Skubal Tolls
2024,20,9,237,SP,Kyle Harrison,SF,My Filipina ❤️'s Dried Fish
2024,20,10,238,RP,Kutter Crawford,BOS,Moonlight Graham
2024,20,12,240,OF,Jung Hoo Lee,SF,X BLADZ
2024,21,1,241,OF,Lars Nootbaar,STL,X BLADZ
2024,21,3,243,OF,TJ Friedl,CIN,Moonlight Graham
2024,21,4,244,SS,CJ Abrams,WSH,My Filipina ❤️'s Dried Fish
2024,21,6,246,P,Cristopher Sanchez,PHI,For Whom Skubal Tolls
2024,21,7,247,SP,Shane Baz,TB,Acuna & Friends
2024,21,8,248,3B,Brett Baty,NYM,Lightning McLean
2024,21,9,249,SP,Braxton Garrett,MIA,jd
2024,21,10,250,RP,Edwin Diaz,NYM,The Boss Hogg Brigade
2024,21,11,251,OF,Jarred Kelenic,ATL,Cruz Control
2024,21,12,252,SP,Clayton Kershaw,LAD,New York No Sox
2024,22,1,253,SS,Jackson Merrill,SD,New York No Sox
2024,22,2,254,C,Logan O'Hoppe,LAA,Cruz Control
2024,22,3,255,RP,Shawn Armstrong,TB,The Boss Hogg Brigade
2024,22,4,256,OF,Lourdes Gurriel Jr.,ARI,jd
2024,22,5,257,RP,Hector Neris,CHC,Lightning McLean
2024,22,6,258,1B,Michael Busch,CHC,Acuna & Friends
2024,22,7,259,OF,James Wood,WSH,For Whom Skubal Tolls
2024,22,9,261,2B,Brandon Drury,LAA,My Filipina ❤️'s Dried Fish
2024,22,10,262,SP,Kenta Maeda,DET,Moonlight Graham
2024,22,12,264,RP,Robert Suarez,SD,X BLADZ
2024,23,1,265,SP,Reese Olson,DET,X BLADZ
2024,23,3,267,SP,Taj Bradley,TB,Moonlight Graham
2024,23,4,268,RP,Alex Lange,DET,My Filipina ❤️'s Dried Fish
2024,23,6,270,2B,Brandon Lowe,TB,For Whom Skubal Tolls
2024,23,7,271,C,Mitch Garver,SEA,Acuna & Friends
2024,23,8,272,C,Gabriel Moreno,ARI,Lightning McLean
2024,23,9,273,3B,Matt Chapman,SF,jd
2024,23,10,274,OF,Jackson Chourio,MIL,The Boss Hogg Brigade
2024,23,11,275,SP,Ranger Suarez,PHI,Cruz Control
2024,23,12,276,SP,Jared Jones,PIT,New York No Sox
2024,24,1,277,RP,Christian Scott,NYM,New York No Sox
2024,24,2,278,1B,Anthony Rizzo,NYY,Cruz Control
2024,24,3,279,SS,Jett Williams,NYM,The Boss Hogg Brigade
2024,24,4,280,OF,Sal Frelick,MIL,jd
2024,24,5,281,SS,Colson Montgomery,CHW,Lightning McLean
2024,24,6,282,3B,Coby Mayo,BAL,Acuna & Friends
2024,24,7,283,C,Henry Davis,PIT,For Whom Skubal Tolls
2024,24,9,285,OF,Jasson Dominguez,NYY,My Filipina ❤️'s Dried Fish
2024,24,10,286,SP,John Means,BAL,Moonlight Graham
2024,24,12,288,SP,Alek Manoah,TOR,X BLADZ
2024,25,1,289,C,Austin Wells,NYY,X BLADZ
2024,25,3,291,SP,Jon Gray,TEX,Moonlight Graham
2024,25,4,292,1B,Nathaniel Lowe,TEX,My Filipina ❤️'s Dried Fish
2024,25,6,294,SP,Jackson Jobe,DET,For Whom Skubal Tolls
2024,25,7,295,SP,Griffin Canning,LAA,Acuna & Friends
2024,25,8,296,1B,Joey Meneses,WSH,Lightning McLean
2024,25,9,297,SS,Brooks Lee,MIN,jd
2024,25,10,298,OF,Spencer Jones,NYY,The Boss Hogg Brigade
2024,25,11,299,RP,A.J. Minter,ATL,Cruz Control
2024,25,12,300,SP,Max Meyer,MIA,New York No Sox
